Clase, Coordenada_X, Coordenada_Y, Profundidad
drumsticks_mid, 188, 234, 0.7240
drumsticks_tip, 184, 81, 0.2616
drumsticks_mid, 144, 201, 0.3309
drumsticks_mid, 95, 183, 0.2292
drumsticks_tip, 49, 44, 0.4270
drumsticks_mid, 84, 182, 0.6913
drumsticks_tip, 122, 50, 0.2638
drumsticks_mid, 130, 188, 0.2393
drumsticks_mid, 186, 212, 0.6563
drumsticks_tip, 252, 103, 0.1984
drumsticks_mid, 187, 209, 0.6362
drumsticks_tip, 264, 105, 0.6822
drumsticks_tip, 193, 57, 0.2376
drumsticks_mid, 149, 181, 0.2620
drumsticks_tip, 115, 29, 0.4789
drumsticks_mid, 119, 166, 0.6704
drumsticks_tip, 218, 66, 0.2100
drumsticks_mid, 176, 194, 0.2161
drumsticks_tip, 276, 114, 0.8796
drumsticks_mid, 196, 215, 0.9039
drumsticks_mid, 168, 203, 0.2737
drumsticks_tip, 235, 95, 0.2382
drumsticks_tip, 123, 46, 0.2845
drumsticks_mid, 116, 181, 0.5411
drumsticks_tip, 210, 77, 0.2083
drumsticks_mid, 169, 204, 0.2264
drumsticks_tip, 267, 121, 0.7612
drumsticks_mid, 186, 222, 0.9454
drumsticks_tip, 187, 80, 0.2229
drumsticks_mid, 140, 198, 0.2576
drumsticks_tip, 156, 53, 0.2513
drumsticks_mid, 139, 187, 0.2553
drumsticks_mid, 174, 203, 0.2354
drumsticks_tip, 229, 83, 0.2050
drumsticks_mid, 162, 215, 0.2234
drumsticks_tip, 233, 104, 0.1964
drumsticks_tip, 153, 70, 0.5360
drumsticks_mid, 124, 209, 0.5776
drumsticks_tip, 228, 124, 0.3446
drumsticks_mid, 155, 248, 0.5898
drumsticks_tip, 221, 140, 0.2809
drumsticks_mid, 147, 264, 0.6913
drumsticks_tip, 153, 155, 0.4069
drumsticks_mid, 112, 303, 0.5289
drumsticks_tip, 153, 225, 0.1756
drumsticks_mid, 121, 373, 0.3003
drumsticks_tip, 165, 274, 0.2053
drumsticks_mid, 622, 469, 0.3373
